,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,13-1111,Management Analysts,detailed,659200,0.8,44.92,93440,0.4,22.66,29.62,39.64,53.17,73.18,47140,61610,82450,110600,152210,,
1,13-1161,Market Research Analysts and Marketing Specialists,detailed,596450,0.8,34.35,71450,0.4,16.59,22.34,30.4,42.89,59.03,34510,46460,63230,89200,122770,,
2,13-2031,Budget Analysts,detailed,54550,1.0,37.83,78680,0.6,23.82,28.93,36.17,45.56,54.68,49540,60170,75240,94770,113740,,
3,13-2041,Credit Analysts,detailed,74850,1.7,39.86,82900,0.9,20.2,25.76,34.27,47.62,67.73,42010,53590,71290,99040,140880,,
4,13-2051,Financial Analysts,detailed,294110,1.3,47.8,99430,0.9,24.89,30.96,40.53,55.28,79.6,51780,64390,84300,114980,165580,,
5,15-1121,Computer Systems Analysts,detailed,581960,1.0,44.59,92740,0.3,25.84,32.82,42.44,54.11,67.24,53750,68260,88270,112540,139850,,
6,15-1122,Information Security Analysts,detailed,105250,2.2,47.93,99690,0.6,26.71,34.68,45.92,59.22,73.6,55560,72130,95510,123180,153090,,
7,15-2031,Operations Research Analysts,detailed,106050,2.2,41.59,86510,0.6,21.77,28.74,39.13,51.79,64.65,45270,59780,81390,107720,134470,,
8,27-3021,Broadcast News Analysts,detailed,5700,8.2,42.43,88250,3.1,12.75,17.33,30.24,49.95,94.0,26510,36050,62910,103900,195520,,
