,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,13-1111,Management Analysts,,536310,0.9,41.95,87260,0.5,21.11,28.01,37.58,50.1,66.73,43900,58250,78160,104200,138790,,
1,13-1161,Market Research Analysts and Marketing Specialists*,,261780,0.9,32.14,66850,0.6,16.03,21.08,29.12,40.59,53.58,33350,43840,60570,84430,111440,,
2,13-2031,Budget Analysts,,58290,1.2,33.97,70660,0.3,21.57,26.31,32.79,40.85,48.88,44860,54730,68200,84960,101660,,
3,13-2041,Credit Analysts,,62680,3.1,32.78,68180,0.8,17.21,21.4,28.29,39.12,54.01,35800,44510,58850,81370,112340,,
4,13-2051,Financial Analysts,,220810,1.2,41.36,86040,0.7,21.39,27.07,35.75,47.71,68.13,44490,56310,74350,99230,141700,,
5,15-1121,Computer Systems Analysts,,495800,1.0,39.06,81250,0.4,23.25,29.35,37.38,46.79,57.24,48360,61050,77740,97320,119070,,
6,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,243330,1.1,38.16,79370,0.4,20.76,27.52,36.37,46.95,57.67,43190,57240,75660,97660,119940,,
7,15-2031,Operations Research Analysts,,62210,1.8,37.01,76980,0.7,19.19,25.02,34.12,46.04,59.02,39920,52030,70960,95760,122750,,
8,27-3021,Broadcast News Analysts,,5670,5.6,34.96,72710,2.6,13.25,17.09,26.03,40.65,70.3,27560,35550,54140,84560,146230,,
