,occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
0,13-1111,Management analysts,,535850,1.0,39.87,82920,0.5,20.15,26.39,35.37,47.93,64.35,41910,54890,73570,99700,133850,,
1,13-2031,Budget analysts,,62630,1.1,32.76,68140,0.4,20.42,25.14,31.41,39.49,48.25,42470,52290,65320,82150,100360,,
2,13-2041,Credit analysts,,74400,3.8,31.05,64580,1.8,15.53,19.53,26.56,38.0,52.1,32290,40620,55250,79050,108370,,
3,13-2051,Financial analysts,,236720,1.9,40.76,84780,0.8,20.88,26.41,35.17,47.65,67.82,43440,54930,73150,99100,141070,,
4,15-1051,Computer systems analysts,,489890,0.9,37.9,78830,0.4,21.82,28.1,36.3,46.06,56.94,45390,58460,75500,95810,118440,,
5,15-1081,Network systems and data communications analysts,,230410,1.1,35.5,73830,0.4,20.03,26.12,34.18,43.63,53.33,41660,54330,71100,90740,110920,,
6,15-2031,Operations research analysts,,60860,2.0,35.68,74220,0.8,19.23,24.9,33.17,44.67,56.79,40000,51780,69000,92920,118130,,
7,19-3021,Market research analysts,,230070,1.1,32.37,67340,0.8,16.24,21.15,29.36,41.11,54.04,33770,43990,61070,85510,112410,,
8,27-3021,Broadcast news analysts,,6310,5.3,34.0,70730,2.4,11.28,15.39,24.65,42.61,75.1,23470,32000,51260,88630,156200,,
