,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,13-1111,Management Analysts,detailed,637690,0.9,44.19,91910,0.4,22.38,29.3,39.1,52.49,71.98,46560,60950,81330,109170,149720,,
1,13-1161,Market Research Analysts and Marketing Specialists,detailed,558630,0.8,33.95,70620,0.5,16.32,21.9,30.08,42.44,58.52,33950,45550,62560,88260,121720,,
2,13-2031,Budget Analysts,detailed,54700,1.1,37.1,77170,0.4,23.22,28.3,35.5,44.66,53.58,48300,58860,73840,92890,111460,,
3,13-2041,Credit Analysts,detailed,72930,1.9,39.02,81160,0.9,19.64,25.25,33.62,46.59,66.21,40860,52510,69930,96910,137730,,
4,13-2051,Financial Analysts,detailed,281610,1.3,46.94,97640,1.0,24.21,30.11,39.31,53.73,79.38,50350,62640,81760,111760,165100,,
5,15-1121,Computer Systems Analysts,detailed,568960,1.0,44.05,91620,0.3,25.53,32.43,41.93,53.38,66.2,53110,67460,87220,111040,137690,,
6,15-1122,Information Security Analysts,detailed,96870,2.4,46.17,96040,0.6,25.85,33.58,44.52,57.22,70.81,53760,69840,92600,119020,147290,,
7,15-2031,Operations Research Analysts,detailed,109150,2.4,40.55,84340,0.7,20.87,27.6,38.08,50.68,63.78,43400,57400,79200,105410,132660,,
8,27-3021,Broadcast News Analysts,detailed,5070,8.0,37.6,78200,2.7,12.35,16.44,27.25,44.87,78.6,25690,34190,56680,93320,163490,,
