,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,13-1111,Management Analysts,detailed,587450,1.0,43.68,90860,0.5,21.81,28.82,38.89,52.08,71.21,45360,59940,80880,108320,148110,,
1,13-1161,Market Research Analysts and Marketing Specialists,detailed,468160,0.7,33.03,68700,0.4,16.09,21.32,29.47,41.43,56.13,33460,44350,61290,86170,116740,,
2,13-2031,Budget Analysts,detailed,57120,1.1,35.55,73940,0.6,22.23,27.28,34.24,42.98,51.55,46230,56730,71220,89410,107230,,
3,13-2041,Credit Analysts,detailed,69390,2.2,36.52,75970,0.8,19.27,24.07,32.22,43.91,60.6,40090,50070,67020,91330,126050,,
4,13-2051,Financial Analysts,detailed,262610,1.3,44.35,92250,0.8,23.16,29.01,37.8,51.27,74.36,48170,60350,78620,106640,154680,,
5,15-1121,Computer Systems Analysts,detailed,528320,0.9,41.98,87320,0.4,24.42,31.02,39.76,50.46,62.49,50780,64520,82710,104950,129980,,
6,15-1122,Information Security Analysts,detailed,80180,2.0,44.04,91600,0.6,24.18,32.23,42.74,54.8,67.53,50300,67030,88890,113990,140460,,
7,15-2031,Operations Research Analysts,detailed,86950,2.4,39.88,82940,0.9,20.58,27.02,36.86,49.25,63.57,42810,56190,76660,102450,132220,,
8,27-3021,Broadcast News Analysts,detailed,4310,6.8,40.57,84380,2.0,13.56,18.58,29.54,49.69,87.73,28210,38650,61450,103360,182470,,
