,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,13-1111,Management Analysts,detailed,540440,0.8,42.34,88070,0.4,21.33,28.18,37.79,50.43,68.55,44370,58620,78600,104890,142580,,
1,13-1161,Market Research Analysts and Marketing Specialists,detailed,392740,0.7,32.39,67380,0.5,16.0,21.07,28.99,40.91,54.57,33280,43830,60300,85090,113500,,
2,13-2031,Budget Analysts,detailed,58280,1.2,34.66,72100,0.3,21.98,26.83,33.31,41.9,49.8,45720,55800,69280,87160,103590,,
3,13-2041,Credit Analysts,detailed,61240,2.2,33.42,69500,0.8,17.79,22.2,29.36,40.37,55.71,37000,46170,61080,83960,115880,,
4,13-2051,Financial Analysts,detailed,239810,1.3,42.98,89410,0.7,22.66,28.35,37.0,49.72,71.36,47130,58970,76950,103410,148430,,
5,15-1121,Computer Systems Analysts,detailed,482040,1.0,40.29,83800,0.4,24.02,30.3,38.31,48.09,58.7,49950,63030,79680,100030,122090,,
6,15-1122,Information Security Analysts,detailed,72670,2.3,42.93,89290,0.6,24.02,31.62,41.43,52.87,65.19,49960,65780,86170,109960,135600,,
7,15-2031,Operations Research Analysts,detailed,69180,1.8,38.38,79830,1.0,19.5,25.54,34.66,46.72,62.26,40550,53120,72100,97170,129490,,
8,27-3021,Broadcast News Analysts,detailed,5170,5.9,37.68,78380,3.0,13.2,17.43,26.63,44.44,81.92,27450,36260,55380,92430,170400,,
