,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,13-1111,Management Analysts,,538950,0.8,42.3,87980,0.5,21.12,28.14,37.74,50.58,68.16,43920,58530,78490,105210,141780,,
1,13-1161,Market Research Analysts and Marketing Specialists*,,318190,0.8,32.27,67130,0.5,16.1,21.12,28.97,40.71,54.12,33490,43930,60250,84690,112560,,
2,13-2031,Budget Analysts,,57110,1.2,34.35,71450,0.3,21.81,26.57,33.22,41.6,49.17,45360,55260,69090,86540,102280,,
3,13-2041,Credit Analysts,,59140,1.8,33.48,69640,0.8,17.59,22.06,29.2,40.01,55.41,36590,45880,60730,83210,115240,,
4,13-2051,Financial Analysts,,226340,1.2,42.18,87740,0.7,22.26,27.84,36.37,48.62,69.99,46300,57900,75650,101120,145580,,
5,15-1121,Computer Systems Analysts,,487740,1.1,39.58,82320,0.3,23.74,29.93,37.87,47.35,57.72,49370,62260,78770,98490,120060,,
6,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,272670,1.1,39.27,81670,0.4,20.56,28.03,37.49,48.83,60.03,42770,58300,77990,101570,124860,,
7,15-2031,Operations Research Analysts,,65030,2.1,37.9,78840,0.8,19.53,25.3,34.59,46.68,60.58,40620,52620,71950,97090,126000,,
8,27-3021,Broadcast News Analysts,,5200,5.3,36.71,76370,2.7,13.55,17.48,26.79,42.7,76.7,28190,36350,55720,88830,159530,,
