,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,13-1111,Management Analysts,detailed,567840,1.0,43.26,89990,0.5,21.73,28.54,38.4,51.42,70.16,45200,59360,79870,106950,145920,,
1,13-1161,Market Research Analysts and Marketing Specialists,detailed,430350,0.7,32.59,67780,0.4,16.1,21.21,29.23,41.01,54.93,33490,44110,60800,85310,114250,,
2,13-2031,Budget Analysts,detailed,58740,1.2,34.89,72560,0.3,22.01,26.93,33.71,42.13,50.17,45780,56020,70110,87630,104350,,
3,13-2041,Credit Analysts,detailed,66490,2.0,34.9,72590,0.8,18.73,23.07,30.78,42.08,57.26,38960,47990,64030,87520,119100,,
4,13-2051,Financial Analysts,detailed,250670,1.3,44.05,91620,0.7,23.13,28.85,37.68,51.19,73.28,48100,60010,78380,106470,152420,,
5,15-1121,Computer Systems Analysts,detailed,507100,1.0,41.02,85320,0.4,24.18,30.7,39.03,49.27,60.32,50290,63860,81190,102480,125460,,
6,15-1122,Information Security Analysts,detailed,78020,2.7,43.85,91210,0.6,24.24,32.27,42.59,54.38,66.72,50430,67120,88590,113100,138780,,
7,15-2031,Operations Research Analysts,detailed,72680,2.1,39.26,81660,1.0,20.23,26.5,35.88,47.7,62.6,42070,55110,74630,99210,130210,,
8,27-3021,Broadcast News Analysts,detailed,4820,6.0,40.73,84710,2.1,13.46,18.22,29.07,50.32,89.55,28000,37890,60470,104670,186260,,
