,ID,City,Job Wage (Avg),Number of Jobs,Population,Household Income (Avg),Avg Wage Rank,Jobs Per Capita Rank,Wage Ratio Rank,# of Jobs Rank,Total City Score
71,37860,"Pensacola-Ferry Pass-Brent, FL",64921.428570000004,1660,481774,67315,97,51,68,41,257
72,25980,"Hinesville, GA",69980.0,170,79984,55082,72,77,8,101,258
73,17980,"Columbus, GA-AL",66273.33333,770,306712,61926,90,67,40,63,260
74,49740,"Yuma, AZ",71054.0,280,205463,56872,64,97,9,91,261
75,44700,"Stockton-Lodi, CA",73988.57143,1320,734294,77528,53,86,75,50,264
76,22380,"Flagstaff, AZ",66902.5,560,140079,67297,85,45,62,73,265
77,15980,"Cape Coral-Fort Myers, FL",70350.0,1590,722506,74125,70,75,78,43,266
78,10500,"Albany, GA",66783.33333,320,152440,57901,87,78,14,88,267
79,47940,"Waterloo-Cedar Falls, IA",68114.0,690,169894,72333,81,43,81,64,269
80,19660,"Deltona-Daytona Beach-Ormond Beach, FL",63724.285710000004,1430,636843,61275,102,73,50,44,269
81,17020,"Chico, CA",65844.0,690,226525,65703,92,56,59,65,272
82,19460,"Decatur, AL",76485.0,100,152051,58555,44,112,6,111,273
83,39820,"Redding, CA",68473.33333,400,178774,64293,77,74,42,83,276
84,29420,"Lake Havasu City-Kingman, AZ",74650.0,110,205385,57530,49,113,7,108,277
85,20220,"Dubuque, IA",68457.5,580,96704,82731,78,25,106,70,279
86,45540,"The Villages, FL",76140.0,140,122121,68118,46,104,23,107,280
87,38940,"Port St. Lucie, FL",69233.33333,810,464563,68880,75,88,56,61,280
88,39380,"Pueblo, CO",67166.66667,240,164834,59601,82,93,19,94,288
89,35840,"North Port-Sarasota-Bradenton, FL",64575.714289999996,2130,788442,77565,98,62,105,35,300
90,20940,"El Centro, CA",66406.66667,350,180980,63208,89,83,48,85,305
91,25260,"Hanford-Corcoran, CA",69926.66667,230,149797,67901,73,91,53,95,312
92,42340,"Savannah, GA",65875.71429,1010,383785,78870,91,66,102,56,315
93,33860,"Montgomery, AL",54715.0,1320,373475,66848,115,50,109,49,323
94,38220,"Pine Bluff, AR",56110.0,190,92412,51185,113,80,30,100,323
95,39140,"Prescott, AZ",67040.0,280,224363,65804,83,100,54,92,329
96,22900,"Fort Smith, AR-OK",56897.5,410,281032,53644,112,92,44,82,330
97,17660,"Coeur d'Alene, ID",64553.333329999994,320,153144,66843,99,79,66,87,331
98,38540,"Pocatello, ID",63985.0,200,84379,64287,101,72,61,99,333
99,46660,"Valdosta, GA",65120.0,100,144434,57866,96,110,20,110,336
100,20020,"Dothan, AL",64540.0,100,147781,56872,100,111,16,109,336
101,42680,"Sebastian-Vero Beach, FL",72425.0,200,151382,79585,58,98,90,96,342
102,40660,"Rome, GA",65240.0,170,96620,66817,95,87,65,102,349
103,30300,"Lewiston, ID-WA",65340.0,30,62406,58362,93,115,22,119,349
104,12020,"Athens-Clarke County, GA",58252.0,510,205421,65420,111,69,95,75,350
